id,question1,question2,is_duplicate
290168,"Before you interview a guest on your podcast, how do you warm them up and make your guest comfortable?","How do you deal with a child who is a guest in your house (your child's friend), and who is talking back to you or ignoring your requests?",0
23350,Has Taiwan preserved more Chinese culture and tradition than the PRC?,"How is Taiwan a continuation of ""traditional Chinese culture""?",0
375332,"When I go to to parties I drink a considerable amount of alcohol and I don't get drunk, same thing with weed. Why don't they effect me?",Do you get drunk faster if you drink shots of hard liquors (e.g. vodka) or if you mix the same amount of alcohol with soda/tonic?,0
290251,"Where were you on September 11, 2001? When you first heard the news of the devastating attack on the World Trade Center, what did you think, feel, and do?","Was the World Trade Center Building 7 intentionally imploded on September 11, 2001?",0
247160,How can changing 500 and 1000 rupee notes end the black money in India?,How is replacing 1000 rs notes with 2000 rs notes going to make black money hoarding a lot harder?,1
373806,Why does U.S. say that South China Sea is unsafe while it has been safe for the past 40 years since the U.S. stopped chemical bombing Vietnam in the ‘70s?,I'm an Indian who has been in the U.S. for the past three years. Why do most Americans fake everything?,0
98108,What are the most common CFD (Computational Fluid Dynamics) software packages used in industry?,What are the most commonly used CFD software packages in industry,1
300673,"2 oranges, 3 bananas and 4 apples cost Rs.15. 3 oranges 2 bananas 1 apple costs Rs10. What is the cost of 3 oranges, 3 bananas and 3 apples?","Stall A and stall B had some apples & oranges. 5/7 of stall A fruits and 3/4 of stall B fruits were oranges. Stall A had 34 more apples than stall B. If stall A had 245 more fruits than stall B, how many fruits did the two stalls have altogether?",0
288277,Is the real Wolf of Wall Street Jordan Belfort still rich today?,"Are the stock-brokering firms always busy and hustling with people on phones in real life as shown in movies like ""Wolf of Wall Street"" and ""Pursuit of Happiness""?",0
21608,"What is the Sahara, and how do the average temperatures there compare to the ones in the Sonoran Desert?","What is the Sahara, and how do the average temperatures there compare to the ones in the Karakum Desert?",1
301386,How can GST reduce tax burden on people and increase government revenue at the same time?,Why has the government increased the service taxes and burden the people when it is in the process to bring out the GST and reduce the disparity of taxation?,0
99254,I'm 15 year old my height is 5 feet 7 inches and my weight is 50 kg what should I do to gain weight?,"I am 25 year old female, my height is 5 ft and weight is 42 kg. what should be my ideal weight and what diet should I follow to gain it?",1
361447,Method and accessories required to connect my Android mobile phone with desktop without chord?,What is the reason that Great Britain is taking part in the 2016 Olympics instead of the United Kingdom?,0
262817,What are the real world applications of various data structures?,What are some real-world applications of a stack data structure?,0
150396,What is the difference between Imam Ali and Prophet Muhammed in ruling over their people?,What is the difference between Imam Ali and Prophet Muhammad in ruling over their people?,1
146967,"I have a verizon lg phone that I dont use, how should I play around with it?","I wanna buy a new phone of around 20K rupees. So, do you think that ""iPhone 5S"" is the best option that I have got OR should I go with ANDROID phones?",0
16346,"What is the Sahara, and how do the average temperatures there compare to the ones in the Dasht-e Loot?","What is the Sahara, and how do the average temperatures there compare to the ones in the Thar Desert?",1
375679,Which is the best coaching institute for the GATE in Vishakapatnam (Vizag) for the EEE (electrical engineering) branch?,Which is the best coaching institute for Gate+IES in Delhi for Electrical Engineering?,0
124315,What is the corporate culture like at Vector Group? How is the culture different than other companies?,What is the corporate culture like at Pattern Energy Group? How is the culture different than other companies?,0
227134,"I have 3 backlogs in my 6th sem, so can I get into accounting internship?",What type of console game should I play to avoid motion sickness?,0
75171,What is the difference between malt whiskey and grain whiskey?,"In terms of manufacturing and taste, what is the difference between a single malt whiskey and a blended whiskey?",0
369581,Did the Democratic National Committee discriminate against Bernie Sanders on the basis of religion?,Who Is best Knowledgeable Astrologer In UNNAO (MP) GURU JI N K RAI?,0
173704,Why does Brat Pitt say “Ideals are peaceful. History is violent.” in the movie Fury?,Are there any unrealistic tank battle scenes in the movie Fury?,0
158198,What are the best places to visit in Kerala in March in 3 days? We will arrive cochin airport by 10 AM on March 14th and leave on March 16th 7 PM.,Which places should I visit if I am going to Kerala for a week with friends?,1
379158,How do I do screen mirroring from iPhone to my Samsung smart tv?,Which is a better screen: a Samsung screen or an iPhone screen?,0
382789,What is difference between aerospace engineering and aeronautical engineering?,What is the difference between aerospace engineering and aeronautical engineering?,1
86260,Is Arun Sharma's data interpretation and logical reasoning book good to work with beginners?,Where can I get the book of logical reasoning by Arun Sharma 6th edition for CAT?,0
288303,"I'm 17, which daily habit can I start doing to be a successful man?",What are a few of the habits that successful people do daily?,0
326002,"How did fungi get to be their own kingdom, instead of being filed under plants?",Arm's used by shikh militants in blue water operations was funded by the pak or themself?,0
280367,"If you exercise often at a young age, will it affect your growth?",Is it true that doing exercise with weights at the age of 15 will stop your growth?,0
366227,Why do some people struggle so hard in life and still don't get rewarded? Why is life for some people so unfair?,Why do some people get everything easily and some people work hard and struggle for years to get what they deserve?,1
145766,If I shot myself in the head with a Desert eagle 50AE what would happends?,Is there any way to survive a .50 AE Desert Eagle shot between the eyes?,1
192389,What psycological tricks and hacks are useful? Lukas schwekendiek,What psycological tricks and hacks are useful - lukas schwekendiek?,1
48761,"What male fictional characters would make good, sexy Halloween costumes (for a guy)?",Is crossdressing as a sexy pink kitty a good costume choice for Let's Make a Deal?,0
263739,What is the right place to start reading about Vedas/Upanishads/Puranas for a complete newbie in the field?,"Which came first Puranas or Vedas? Some say, Vedas came in 5000 BC and then Puranas came after that. Is there any proof for that?",0
388311,How were students evaluated in Medieval universities? Did they give oral or written exams? How long did they last?,How difficult was Mathematics in the medieval times? How did they use Roman numerals for calculations?,0
51699,Who are the best personal financial advisors in Seattle for people saving for retirement? What were your experiences with them?,"Who are the best personal financial advisors in Portland, OR for people saving for retirement? What were your experiences with them?",0
213302,Why isn't the Nomao app banned though it is taking nude pictures?,Is it possible to create a picture that external cameras can't take a picture of?,0
59704,"I'm a 31 year-old software developer that likes art, science, skiing, and hiking. I also like off-the-beaten-path towns, perhaps in Montana. Any recommendations?","I'm a 31 year-old software developer that likes art, science, skiing, and hiking. I also like off-the-beaten-path towns, perhaps in Idaho. Any recommendations?",0
253039,Which is the best coaching center in South India to crack CAT?,Which T.I.M.E. center is the best for CAT coaching in Bangalore?,0
89933,What is a good inpatient drug and alcohol rehab center near Richmond County GA?,What is a good inpatient drug and alcohol rehab center near Morgan County GA?,0
11514,Is it true that upcoming 500 and 2000 rupees note have NGP chip inside them?,Is the new 2000 rupees note polymer/plastic? Is it untearable?,1
120733,What is the difference between the type of questions asked in GMAT and CAT?,"What is difference between CAT and GMAT in terms of syllabus, admission, difficulty and acceptance?",1
54069,Better Call Saul: Season 1: What condition does Chuck McGill have?,How much did Cinnabon pay for the product placement in Better Call Saul?,0
385114,My penis foreskin is little tight. Still I could roll down and it's retractable. But the problem is that the penis head is very sensitive. I can't even touch it. It gives me a feeling like I can't actively involve in sex. Will circumcision give me the solution?,"When I retract foreskin of my penis, a ridged band muscles also come out. Is it normal?",0
232270,Where can I apply for internships in my second year of B.Tech (mechanical engineering)?,"Is it possible to get an internship in the second year of engineering (B.Tech) itself? If so, how?",0
48718,"If you answer your own question on Quora, does your answer ranking go down?","On Quora, can you answer your own question? Is it bad form to answer your own question?",1
165241,If I have a B1/B2 Visa stamped for the US. Can I visit the US for leisure trips too?,"I have a B1/B2 VISA for 10 years issued in 2013, but I did not visit the US. Can I make my first visit to US in 2017?",0
227437,What are the most basic parts I need in order to build my own computer at home?,"What specific parts would I need to build a general-use, home desktop computer?",1
139438,"Is the Dell xps 13 (late 2015) developer edition available in Canada? If not, when will it be?","Is the Dell XPS 13 Developer Edition 2015 available in India? If not, how can I get it?",0
156389,What are some tips on making it through the job interview process at CSS Industries?,What are some tips on making it through the job interview process at Real Industry?,0
122313,"Where can I download ""The Manhattan GRE set of 8 strategy guides""?",Where can I get the 6th edition of Manhattan strategy guides?,0
378977,What does a boy do if he likes a girl does he approach her directly when she knows about him that he likes her?,"I hate my friend because she ruined my happiness. I like a boy and I told her, but he became her BF! She hurt me a lot. What should I do?",0
139017,My question was marked as needing improvement! What does it mean? How do you mark other questions for improvement?,What should I do when someone marks my question as needing improvement?,1
364286,How much should an average partner at a medium size venture capital firm expect to make in a given year?,How much vacation do partners at venture capital firms get annually?,0
298146,Does having a calm or cool demeanor gives you an edge to be a good sporting shooter?,Does having a calm or cool demeanor give you an edge to be a good sporting shooter?,1
375148,What are the mathematics behind the Myers-Briggs personality Test?,What is the science behind the Myers-Briggs personality test?,0
105755,Should aspiring billionaires be as multifaceted as possible or have laser-like focus on one designation?,Can you tell that someone has been looking at your Facebook profile?,0
345425,"I like to crossdress, i want to buy girls clothes online, how can I do this without my family finding out?","Whenever I feel depressed, upset or ignored I tend to do things without my knowledge which I did not want to do like watching porn or masturbating. I know it's no harm, but I don't want to get addicted to this. How can I overcome this?",0
42192,Can I upload personal dance video on YouTube with Bollywood song?,How do I upload Bollywood song on YouTube channels without Copyright Error?,0
399731,Why is the bear an important Apache tribe symbol? What does it mean?,Why is the eagle an important Apache tribe symbol? What does it mean?,0
282993,"What strikes first time visitors as special or unusual when they arrive in Angeles City, Philippines?","What strikes first time visitors as special or unusual when they arrive in Pasig City, Philippines?",0
310932,I can only fall asleep every other night. Is my locus coeruleus taking permanent damage?,Can we initiate a Java program through a Arduino code if not then is there any SMS gateway in Arduino?,0
315622,What was the last rank or number obtained by the candidates to get admission in JIPMER & AIIMS in all categories?,What is the minimum marks with which a general category student can get admission in any of the seven AIIMS?,0
317739,"Why is ""Pokemon Ranger and the Temple of the Sea"" movie problematic?","Why is ""Pokémon Ranger and the Temple of the Sea"" movie underrated now?",0
248248,"What would happen if you took 250,000 mg of Tylenol, 162,500 mg of Aspirin and 2,400 mg of Benadryl at once?",Drugs: What will happen if someone takes approx. 500-600 mg Morphine at one go?,0
115949,What do Pakistani people think about uri attack and about their own country after that?,What do Pakistani people think about the Uri attack on 18th September 2016?,1
245425,"All biases aside, at this point in time, who do you think will win the presidential election?",Who do you think is going to win the presidential elections and why?,1
345277,Do you think you will add a daily folic acid supplement to your routine? Why or why not?,Do you think that animals will ever be given a right to life similar or equivalent to human beings? Why or why not? Is this moral?,0
162936,Is studying an MBBS in the Philippines better or should I stick to India? What are the pros and cons?,Should I study at home or at a quiet library? What are the pros and cons?,0
98865,"What hotel in Lambasingi Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?","What hotel in Shimla Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?",0
106689,"Can you type the best picture of nature here, wich is the best for you?",What are the message parlous in Kolkata give sexual satisfaction?,0
81927,"What is the best possible answer to the most asking interview question ""Why should I hire you""?","What could be an ideal answer for most frequently asked question by companies ""why should we hire you""?",1
330419,What are the best places to visit in Kerala? What is the best way of transportation there?,What are the best off-the-beaten-path places in Kerala for a tourist?,1
390859,What are the safety precautions on handling shotguns proposed by the NRA in Montana?,What are the safety precautions on handling shotguns proposed by the NRA in Hawaii?,1
131296,How will black money and corruption be stopped by banning 500 and 1000 notes?,"Will demonetization of Rs. 500 & 1000 currency notes curb/eliminate corruption, black money and terrorism in India?",1
323618,What should one do if you have a family member who obsesses over your flaws and points them out?,What would happen if Sheldon Cooper became the king of Winterfell?,0
244632,"Did Prof. Richard Muller's paper ""Now, and the Flow of Time?"" pass a peer-reviewed process?","Where can I get the pirated copy of Now, the Physics of Time by Prof. Muller?",0
236017,How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise M604dn?,How does the HP OfficeJet 4620 Airprint compare to the HP DesignJet T730 36-in Printer?,1
35491,How do I increase output (watt) of a USB port in a  laptop? Are there any devices that can increase the USB output power a little?,Can I use a USB cable to connect two laptops such that the input from the keyboard on one laptop will display the output on the other laptop monitor?,0
382092,"If we need infinite energy to escape from the event horizon of a black hole does this mean that an infinite ""amount"" of energy drags us to it?",Are there any other eBook readers other than Kindle? I have a number of books stored in my phone and it seems I can't transfer those to Kindle?,0
125493,"If you had to choose, would you rather move to a developed country to improve the life of your child, or take care of your mentally ill parent?","For those with a diagnosed mental illness, if you could erase the illness and the experiences you've had with it from your life would you choose to do so?",0
161000,What are career opportunities in companies after an M.Tech in production engineering with a B.Tech in mechanical engineering?,What fields can I enter after completing a B.Tech in mechanical engineering?,1
210546,Are all the stories from Christian mythology in the Bible or are there other documents that exist that contain any?,Does the Bible exhaustively contain all the stories from Christian mythology?,1
292021,On Instagram I blocked someone who blocked me. How do I unblock them?,I've blocked someone on Facebook and then successfully unblocked them. Now neither of us seem to be able to re-friend each other. What can I do?,0
46676,Does Amazon.com offer a service to purchase book jacket covers when you purchase books with dust jackets?,How can I sync books not purchased on Amazon to Kindle-for-PC software?,0
91992,Why are blue and red neon lights illegal or restricted for commercial uses in Mexico?,Why are blue and red neon lights illegal or restricted for commercial uses in Brazil?,0
262804,What are futuristics project ideas for final year electronics engineers?,What are some of the recent final-year electronics project ideas?,0
250114,Which is the best company for Tibco Businessworks 6 job support in India?,Which is the best company for Tibco BusinessWorks 6 online job support in India?,1
401641,Do green card holders have to pay US taxes when they work outside the US?,Do I still pay taxes to the US if I am a US citizen who resides and works overseas?,0
107310,"If you could live anywhere in the world for a year, where would it be and why?","If you had the chance to live anywhere in the world, where would you live and why?",1
242489,Why do objects burn while entering from outer space to Earth's atmosphere?,Why do objects in space entering the Earth’s atmosphere catch fire?,1
397921,How (if possible) can an illegal immigrant gain citizenship in the following countries that they are currently residing in?,What countries can I gain citizenship in as an illegal alien?,0
244238,Donald Trump said his father gave him a small loan whereas Hillary Clinton said it was in the millions. Who was right? Was it a loan or not?,Was Donald Trump or Hillary Clinton right about the size of the loan Trump's father gave him?,1
320540,Evolution: Why do people from different races(or region) have different facial features?,What causes the difference in the facial features of people of different races?,1
203031,"How do presidential elections work in the US, how do the compare to the presidential elections in Mexico?","How do presidential elections work in the US, how do the compare to the presidential elections in Uruguay?",0
38337,How do Indians think of the fact that India set its army posts in Chinese territory even beyond the disputed land in 1962?,How are territorial disputes in the South China Sea depicted in Chinese state media?,0
204056,"How does it feel when a penis enters a vagina, from either partner's point of view?",Why does a hard penis give more pleasure than a soft penis inside a vagina?,0
113262,"Can I do my post graduation in nuclear science after a B.Tech ECE? If yes, what are the colleges available?",I am pursuing a B.tech in computer science. How can I join DRDO after my graduation?,0
143821,Anyone pl; tell me how can I talk to airtel customer care executive?,How does one speak to a Vodafone customer care executive quickly? I'm sick and tired of waiting and listening to the same monotonous IVRS!!,0
239319,What is the reason for Muslims to like their religion more so than that of their own non-Muslim country ?,"Why are Muslims so obsessed with Islam, Quran, Prophet Muhammed (much more than other people are with their own religion)?",1
168463,Sedimentology: How do lake depositional environments show up on the sedimentary layer of a sedimentary rock?,Sedimentology: How do tidal depositional environments show up on the sedimentary layer of a sedimentary rock?,0
340384,How someone is showing 'active now' on messenger without green sign?,Can you hide the green active dot and your picture and still read someones messages and view their page?,0
47539,What are the things a woman should NOT do after getting married?,What are the things a man should not do after getting married?,0
300466,How can I protect an excel sheet from copying cells without using macros?,How can I extract hidden text contents of a cell from an Excel sheet using Java?,0
404184,I am an introvert and couldnt guess the right career for myself and because of my parents I took teaching and I am finding it uncomfortable?,"I am working in an IT company, and I am preparing for the civil service exam. However, I am very tensed because of my body height which is only 5 feet. Am I perfectly eligible for the civil service exam?",0
174045,What is a suitable inpatient drug and alcohol rehab center in Evans County GA?,Which is a suitable inpatient drug and alcohol rehab center in Stephens County GA?,0
371712,"In the U.S., why are so many Chinese women married to white men but not the other way around?",Are Chinese women and white men a good representation of yin and yang?,0
339641,Does using amphetamines actually make you smarter or just make you think you are smarter?,What are the common first signs of pregnancy? How can I tell if I'm pregnant? What are the symptoms?,0
342854,Why did Indian government scrap Rs 1000 and 500 note and instead is introducing Rs 2000 note?,"If the Indian government has decided to demonetise 500 and 1000 rupee notes, why are they bringing back new 500 and 2000 Rs notes?",1
1889,Can I apply to University of Alberta internetworking without a project proposal?,Can I get into the university of alberta with an 82% ? (on a 33% pass scale) I am from india,0
274550,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Penang?","What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Eslands River?",1
253896,"How do you respond to ""how will you add value to this company?"" when asked in an interview?",I'm a recent grad financial analyst. How can I add value to my company/team?,0
198498,Are there any websites that sell clothes similar to the one's worn by filmstars in movies?,Why is the quality of clothing inferior to that of imported ones? Why are Indian brands not selling good quality clothing at affordable rates?,0
67922,"What is the meaning behind ""What is the sound of one hand clapping?""?","When paying ones respect in traditional chinese fashion, what is the meaning for or symbolism behind bowing three times?",0
142900,Dating and Relationships: How can I find out what social media my husband is on for free?,"If I have someone's email address, how can I find out about their social media accounts?",0
215234,What is the hierarchical order for the state civil services posts from joining until the top?,What was the last rank that a candidate from general category got in the Civil Service Exam 2014 in order to become an IPS?,0
213186,"What does the Spanish phrase, ""Te amo, mi amor"" mean in English?","What does the phrase ""Salta Pro Nobis"" mean? Isn't it a Spanish phrase?",0
185541,Why does government is issuing Rs. 2000 note instead of Rs. 1000? Why is it so? What will be the consequences?,Why is government issuing a new Rs 2000 note and not Rs 1000 back again?,1
332499,What are the answers to these 3 questions from math NET exam?,How do I start my own YouTube music channel of other artists?,0
365491,How do you stabilize table legs attached with table leg plates?,Do It Yourself (DIY): What are the most creative ways to fix a wobbly table?,0
382927,Can you be a passenger on a Disney Cruise 365 days of the year?,Could someone define “internally” / “ internally consistent” at the second point below?,0
234075,I have forgotten my Nokia Asha 200 security code. what are the master code numbers to unlock it?,"I changed my security password of my Nokia 2690 from 12345 to some other code, now I forgot the new code. How should I reset the code?",0
110051,Can the Supreme Court of India interfere on the banned of 500 and 1000 notes by the government?,Does the Supreme Court have the power to revoke Government of India’s (Narendra modi’s) decision to ban 500 and 1000 denomination bank notes?,1
396775,"If universe expands without limit and dark/vacuum/gravitational energy is created with it, is potential energy (the energy that can be created) infinite?","If energy is not conserved in an expanding universe, is potential energy infinite (the energy that can be created is infinite)?",1
229737,What are the different kinds of speeches and what are some examples?,What are the different kinds of speeches? What are some examples?,1
18406,What is the main difference among the Earth observation companies?,What is the ownership of new council hall Of maharastra located in Mumbai as per official P.R.Card?,0
351063,What structures would convey the current array of cultures to future archaeologists?,"What would be the fastest algorithmic approach if I had to check an array of approximately 5,000 strings with another array of 5,000 strings?",0
129646,What is the name of a movie you saw many times? And how many?,Which movie have you watched the most times? How many times did you watch it?,1
107063,"I have gotten a placement in Infosys and my date of joining is May 26, 2014. I want to extend my offer to the first week of July. How can I do so?",I have planned to do CCNA and join networking domains as a fresher. I also have an offer from Infosys as a systems engineer through campus placements. What are the companies that can take a fresher with CCNA?,0
254097,What would happen if Trump and Pence both died right now before being sworn into office?,"If Donald Trump disappeared without a trace, how would you feel?",0
281284,Should I lend money to my best friend when I am not in a good condition?,I don't feel like lending my hard earned money to friends when they ask for help. I lost some trust by saying no. Am I correct?,0
300847,"How important is interpretability for a model in Machine Learning, and how can Deep Learning models be made more interpretable?",How important is interpretability for a model in Machine Learning?,1
146336,"How is Bolivia's geographical location unique in the region, and how does its geography compare to Uruguay's?","How is Bolivia's geographical location unique in the region, and how does its geography compare to that of other countries?",0
129405,What's the notable difference in the light-quality of an DE SISTI and an Arri Lamp?,How much power and what kind of lamp do we need to light up the Mariana Trench from the surface?,0
30727,How can you stop a Bulldog/Pitbull mix from biting your furniture?,How do you stop a Bulldog/Pitbull mix from biting your furniture?,1
16063,What are the tips and hacks for getting the classes that you want as a freshman at Rider University?,What are the tips and hacks for getting the classes that you want as a freshman at Ohio University?,0
45934,What are the best high-end preschools in Honolulu? What makes them good or special?,What are the best high-end preschools in Phoenix? What makes them good or special?,0
238346,Why do people try to ask silly questions on Quora rather than googling it?,Why do people find it easier to stage simple questions on Quora rather than spending a few minutes on the Internet to find straight answers?,1
113555,If Mary Morman had used a HD Digital camera for her picture of the JFK assassination?,Find two natural numbers whose difference is 66 and LCM is 360?,0
115027,"What's the story behind ""I'm Feeling Lucky"" on the Google home page?","Google opens which link when you press the 'I am feeling lucky' button, the organic first or the paid first?",0
372706,"When the Mongols marauded eastern Europe, did they succeed only because they targeted defenseless villagers, women, and children?",How do American women in the military handle the cultural differences when they are stationed in Middle Eastern countries?,0
132760,What are the various exams a third year or final year mechanical engineering student can appear for?,What are those exams for which I can appear as a final year student of mechanical engineering?,1
197300,What are some stereotypes and connotations of accents and dialects in languages aside from English?,What is the language on the Shetland Islands or is it an English dialect?,0
164589,What are prospects and challenges of pulses in food security?,What are the prospects for pulses for sustainable food security?,1
201413,I gave interview in IBM. They took my biometrics and asked to leave. Am I selected?,I gave interview in IBM. They took my biometrics and asked to leave. Am I selected or not?,1
312634,What would happen if a presidential candidate were to die the day or week before an election?,What will happen if Hillary and Donald Trump dies before the election?,1
158645,"If one root of [math]ax^2+bx+c[/math] would be the square of the other, then the value of [math]b^3+ac^2+a^2c[/math] is?",What is a condition where one root of [math]ax^2+bx+c[/math] may be the square of another?,0
57785,What are the best career option for a Diploma holder in Electrical Engineering?,What is best career option for electronics & instrumentation engineering?,1
332107,What are the career prospects after doing a PhD in chemical engineering from the USA?,Jobs opportunity in us after phd in chemical engineering from us?,1
1924,How will the ban on Rs 500 and 1000 notes impact the Indian economy?,How does the ban on 500/1000 denominations affect various domains of the Indian economy?,1
181264,Digital Cameras: What are the things that I should consider before buying a DSLR?,I am planning to buy a DSLR camera. Which are the specifications I need to check before buying one?,0
355003,What are the best digital marketing courses for mid-senior level marketing managers?,Which are the best online courses on digital marketing in India?,1
178535,"What happens to current account holders, how much money they can deposit in bank of old 500 1000 notes?",Can one deposit old 500 and 1000 rupees in a current account as per books on 8.11.16 for more than one time up to 30.12.16?,1
58841,"What are some major landforms in Texas, and how do they compare to the most famous landforms in Colorado?","What are some major landforms in Texas, and how do they compare to the most famous landforms in Montana?",0
204153,Why does the value of Japanese yen continue to appreciate contiuously even though other currency values tumble from time to time?,Why does the value of Japanese yen continue to appreciate contiuously even though other currencies tumble from time to time?,1
365377,Why did Buddhism decline in India when several kings supported the religion?,What were the causes of the decline of Jainism and Buddhism in India?,0
403156,What could cause the peach fuzz to grow longer on only one side of my face?,Why do beard grow only on chin n cheeks? Why not facial hair all over the face? How is it related to human evolution?,0
76568,"What strikes first time visitors as special or unusual when they arrive in Malmö, Sweden?","What strikes first time visitors as special or unusual when they arrive in Gothenburg, Sweden?",0
207683,I feel extreme fatigue and sleepy waking up on a rainy day. Why does this happen?,I got a great night's rest but since I stood up I have been extremely thirsty all day and very fatigued. Should I see my doctor?,0
90018,How can people who voted for Obama say Trump is not qualified to be president?,Why do think that that President Obama was qualified for President and not Donald Trump.?,0
