id,question1,question2,is_duplicate
302635,What was the strangest thing you found cleaning out your parents’ house after they died?,What was the strangest experience/occurring right after someone died?,0
137673,How do you invite people you are not friends with on Facebook to like your Facebook page?,How do I cancel an invite to like a page on Facebook that I already sent?,0
157422,"People are going viral with the cracker-free Diwali campaign, but why hasn't there been much hype about stopping animal sacrifices for Bakrid/any other Hindu festival?",What are your reactions about the huge animal sacrifice in Nepal? Is it right? And what about Bakri Id and other such festivals?,0
53959,What would have happened if MacArthur had been allowed to use nukes against the Chinese during the Korean War?,What would have happened if General Douglas MacArthur was allowed to pursue China past the Korean border?,0
394121,Would a fire in a room burn slower if the air conditioner was on and why?,Will a fire in a room burn slower if the air conditioner was on?,1
10801,What will happen to a person who eats almost no vegetables and only one small meal a day?,What is the best brand and model of tractor for a small farmer who will have only one tractor?,0
24514,Should I do a master at TU Munich if I want to focus on Machine Learning?,"I feel so nostalgic when I see someone bid farewell to their girl (Daughter, sister, friend, relative) after her wedding?",0
144587,What should I do about my mother-in-law's medical issues interfering in my marriage?,My mother in law's medical issues are destroying my marriage?,1
134901,I feel like crying. I am not proud of the stuff I do to make me happy. I think about killing myself and I believe I have no real friends. How can I overcome this? Why am I depressed?,I am depressed. I don't have soulmate. I don't have friends. I don't have job satisfaction. I feel like dying. Can anyone save me?,0
355389,What were some of the worst atrocities committed during the Crimean War?,What atrocities were committed by Mongol Invaders during their campaign?,0
54116,Are there problems or interesting effects caused by China using one standard time across the area of 5 time zones?,What are some difficulties China puts up with for using only one time zone?,1
395703,What if a British monarch married a Danish monarch or any other European monarch vice versa?,"For property under construction, what is the rate of service tax that should be paid? Rate at the time of booking? Or that at the time of demand?",0
28386,"What is the first thing that comes to your mind, when you hear the word ""Argo""?","What is the first thing that comes to your mind when you hear the word ""Delhi""?",0
230454,What programming languages should be learned to become best programmer?,What is the best computer programming language to learn first?,1
24427,Why do people book expensive hotels when hostels are available?,"If Airbnb is just as expensive as a hotel, why do people live there?",0
304830,What is the difference between product manager and product designer?,Scrum (product development): What is the difference between a Product Owner and a Product Manager?,0
256437,What are some weekend gateways from Bangalore and pune at about equal distance?,What hill station/picnic spot is of equal distance from Bangalore and Pune?,1
330055,How can the BJP justify wasting 3600 crore of the taxpayer’s money on a statue of Shivaji?,What do you think of the decision by the Indian Government to demonetize 500 and 1000 rupee notes?,0
259061,"What do you think of the documentary ""The Coming War on China"" by John Pilger? Will America and China have a war in the near future?",What do you think about John Pilger's new film The Coming War On China?,1
356102,Where can I get necessary advice for any property transaction in Sydney?,Where can I get knowledgeable assistance for transfer of property in Sydney?,1
